"GOFAR Data Export"
"Vehicle","From","To"
"New Car","01-Jan-2021","28-Mar-2021"
,,,,,,,,,,,,,,,,,,,,
"Start Odometer","End odometer","Total distance recorded","Business distance recorded","Business use percentage",,,,,,,,,,,,,,,
"39185","41309","2124.41","0.00","0.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Business trip method","Distance [km]","Rate","Total Claimable",,,,,,,,,,,,,,,,
"ATO","0.00","0.68","0.00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Type,Trip Index,Start Time,End Time,Fuel (L),Cost,Price per Litre,Start Location,End Location,Average Speed (km/h),Distance (km),Economy (L/100km),CO2 (kg),Acceleration Score,Braking Score,Business,Tags,Odometer Start (km),Odometer End (km),% difference between calculated odometer and actual odometer
"Trip","103","17-Mar-2021 17:55","17-Mar-2021 18:09","0.818","0.82","1.000","","","40","8.96","9.13","1.88","86.18","76.91","","","40165","40174","0.00%"
"Trip","104","17-Mar-2021 18:49","17-Mar-2021 19:47","3.226","3.23","1.000","","","44","41.67","7.74","7.45","81.20","78.06","","","40174","40216","0.00%"
"Trip","105","17-Mar-2021 20:02","17-Mar-2021 20:27","1.128","1.13","1.000","","","34","13.62","8.28","2.60","89.73","77.40","","","40216","40230","0.00%"
"Trip","106","17-Mar-2021 20:39","17-Mar-2021 20:43","0.209","0.21","1.000","","","40","2.46","8.50","0.48","87.31","78.23","","","40230","40232","0.00%"
"Trip","107","17-Mar-2021 20:52","17-Mar-2021 20:55","0.147","0.15","1.000","","","28","1.38","10.62","0.33","91.89","70.99","","","40232","40233","0.00%"
"Trip","108","18-Mar-2021 13:59","18-Mar-2021 14:15","0.943","0.94","1.000","Port Kennedy","Rockingham","32","8.55","11.04","2.17","81.25","76.75","","","40233","40242","0.00%"
"Trip","109","18-Mar-2021 15:24","18-Mar-2021 15:41","0.965","0.97","1.000","Rockingham","Port Kennedy","31","8.81","10.95","2.22","76.14","77.18","","","40242","40251","0.00%"
"Trip","110","18-Mar-2021 16:17","18-Mar-2021 16:26","0.353","0.35","1.000","Port Kennedy","Port Kennedy","13","2.07","17.05","0.81","75.95","67.40","","","40251","40253","0.00%"
"Trip","111","18-Mar-2021 16:39","18-Mar-2021 16:51","0.673","0.67","1.000","Port Kennedy","Warnbro","30","5.99","11.24","1.55","80.07","72.58","","","40253","40259","0.00%"
"Trip","112","18-Mar-2021 16:55","18-Mar-2021 17:26","1.477","1.48","1.000","Warnbro","","30","15.62","9.46","3.41","80.63","76.18","","","40259","40274","0.00%"
"Trip","113","18-Mar-2021 17:55","18-Mar-2021 18:02","0.346","0.35","1.000","Port Kennedy","Port Kennedy","17","2.02","17.12","0.79","71.01","66.01","","","40274","40276","0.00%"
